support,itemsets,tn,fp,fn,tp,length,support_count,fpr,fnr,accuracy,error,d_fnr,d_fpr,d_accuracy,d_error,t_value_fp,t_value_fn,t_value_fp_fn,t_value_tp_tn
1.0,frozenset(),336,153,129,382,0,1000.0,0.3128834355828221,0.25244618395303325,0.718,0.28200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.645,frozenset({'lunch=1'}),149,115,80,301,1,645.0,0.4356060606060606,0.2099737532808399,0.6976744186046512,0.3023255813953488,-0.04247243067219336,0.1227226250232385,-0.02032558139534879,0.02032558139534879,3.321984150383963,1.4800269279751954,0.8922700439121097,0.8922700439121097
0.642,frozenset({'test preparation course=1'}),277,90,104,171,1,642.0,0.2452316076294278,0.3781818181818182,0.6978193146417445,0.3021806853582555,0.12573563422878492,-0.0676518279533943,-0.020180685358255457,0.020180685358255457,2.186737792992918,3.6051158032425707,0.8849103883121572,0.8849103883121595
0.518,frozenset({'gender=0'}),150,76,70,222,1,518.0,0.336283185840708,0.23972602739726026,0.7181467181467182,0.28185328185328185,-0.012720156555772993,0.023399750257885876,0.00014671814671818328,-0.00014671814671818328,0.6401469521723407,0.3788623386219243,0.010576495413964016,0.010576495413964016
0.482,frozenset({'gender=1'}),186,77,59,160,1,482.0,0.29277566539923955,0.2694063926940639,0.7178423236514523,0.2821576763485477,0.016960208741030658,-0.020107770183582563,-0.0001576763485476862,0.0001576763485476862,0.5530950657554512,0.5096015490289375,0.02499933516242003,0.02499933516242003
0.418,"frozenset({'lunch=1', 'test preparation course=1'})",129,74,71,144,2,418.0,0.3645320197044335,0.3302325581395349,0.65311004784689,0.34688995215311,0.07778637418650164,0.051648584121611385,-0.06488995215311,0.06488995215311,1.3202291920249503,2.1061974921283677,2.3950285843896415,2.3950285843896415
0.358,frozenset({'test preparation course=0'}),59,63,25,211,1,358.0,0.5163934426229508,0.1059322033898305,0.7541899441340782,0.24581005586592175,-0.14651398056320275,0.20351000704012873,0.03618994413407828,-0.03618994413407828,4.10297266030587,5.1778700290605375,1.3145174458072726,1.3145174458072726
0.355,frozenset({'lunch=0'}),187,38,49,81,1,355.0,0.1688888888888889,0.3769230769230769,0.7549295774647887,0.24507042253521127,0.12447689297004366,-0.14399454669393322,0.036929577464788754,-0.036929577464788754,4.35324194739786,2.711954717987122,1.338459666716225,1.338459666716225
0.334,"frozenset({'gender=0', 'test preparation course=1'})",128,47,58,101,2,334.0,0.26857142857142857,0.36477987421383645,0.6856287425149701,0.3143712574850299,0.1123336902608032,-0.04431200701139354,-0.03237125748502989,0.03237125748502989,1.0791933642714684,2.6636784712944794,1.1380867954183698,1.1380867954183698
0.329,"frozenset({'gender=0', 'lunch=1'})",57,56,39,177,2,329.0,0.49557522123893805,0.18055555555555555,0.7112462006079028,0.2887537993920972,-0.0718906283974777,0.18269178565611593,-0.006753799392097193,0.006753799392097193,3.574564161190256,2.1556906608123523,0.264864065253776,0.264864065253776
