support,itemsets,tn,fp,fn,tp,length,support_count,fpr,fnr,accuracy,error,d_fnr,d_fpr,d_accuracy,d_error,t_value_fp,t_value_fn,t_value_fp_fn,t_value_tp_tn
0.051,"frozenset({'parental level of education=4', 'test preparation course=0', 'lunch=1'})",0,7,0,44,3,51.0,1.0,0.0,0.8627450980392157,0.13725490196078427,-0.25244618395303325,0.6871165644171779,0.14474509803921576,-0.14474509803921576,5.664168025128104,8.08757560344911,2.591060314944003,2.5910603149440035
0.053,"frozenset({'test preparation course=0', 'lunch=1', 'parental level of education=0'})",0,12,0,41,3,53.0,1.0,0.0,0.7735849056603774,0.2264150943396226,-0.25244618395303325,0.6871165644171779,0.05558490566037744,-0.05558490566037744,8.821354191355484,7.739516690928127,0.7872076973554687,0.7872076973554691
0.059,"frozenset({'lunch=1', 'test preparation course=1', 'race/ethnicity=4'})",1,19,1,38,3,59.0,0.95,0.02564102564102564,0.6610169491525424,0.3389830508474576,-0.22680515831200762,0.6371165644171779,-0.056983050847457584,0.056983050847457584,9.378789813837326,5.331990618677904,0.9973264943581183,0.9973264943581192
0.053,"frozenset({'lunch=1', 'gender=1', 'race/ethnicity=4'})",1,18,1,33,3,53.0,0.9473684210526315,0.029411764705882353,0.6415094339622641,0.3584905660377359,-0.2230344192471509,0.6344849854698094,-0.07649056603773585,0.07649056603773585,8.958093560599018,4.6815288910822,1.233399045251833,1.233399045251833
0.099,"frozenset({'lunch=1', 'race/ethnicity=4'})",2,26,2,69,2,99.0,0.9285714285714286,0.028169014084507043,0.7171717171717171,0.2828282828282829,-0.22427716986852622,0.6156879929886065,-0.0008282828282828447,0.0008282828282828447,10.144644773123721,7.074787225780058,0.09986837564198055,0.09986837564198173
0.06,"frozenset({'test preparation course=0', 'race/ethnicity=4'})",1,13,1,45,2,60.0,0.9285714285714286,0.021739130434782608,0.7666666666666667,0.23333333333333328,-0.23070705351825066,0.6156879929886065,0.04866666666666675,-0.04866666666666675,6.771977398869968,6.1563272389709995,0.7258498306763449,0.7258498306763449
0.065,"frozenset({'gender=1', 'lunch=1', 'parental level of education=0'})",3,23,0,39,3,65.0,0.8846153846153846,0.0,0.6461538461538462,0.3538461538461538,-0.25244618395303325,0.5717319490325625,-0.07184615384615378,0.07184615384615378,7.9617392501675,7.4912402116374,1.2659120439738858,1.2659120439738867
0.074,"frozenset({'parental level of education=4', 'lunch=1', 'gender=0'})",3,18,1,52,3,74.0,0.8571428571428571,0.018867924528301886,0.7432432432432432,0.2567567567567568,-0.23357825942473137,0.5442594215600349,0.02524324324324323,-0.02524324324324323,6.3936981871967555,6.884958701003686,0.3696025907201739,0.3696025907201728
0.071,"frozenset({'gender=1', 'race/ethnicity=4'})",4,22,2,43,2,71.0,0.8461538461538461,0.044444444444444446,0.6619718309859155,0.3380281690140845,-0.2080017395085888,0.533270410571024,-0.05602816901408447,0.05602816901408447,6.849682759716743,4.7204163216798145,1.0538059934797799,1.053805993479781
0.078,"frozenset({'lunch=1', 'race/ethnicity=3', 'gender=0'})",4,18,4,52,3,78.0,0.8181818181818182,0.07142857142857142,0.717948717948718,0.28205128205128205,-0.18101761252446183,0.5052983825989961,-5.1282051282020014e-05,5.1282051282020014e-05,5.699308394320086,4.051424891970196,0.09691877350729132,0.09691877350729132
0.054,"frozenset({'test preparation course=1', 'lunch=1', 'race/ethnicity=3', 'gender=0'})",4,15,4,31,4,54.0,0.7894736842105263,0.11428571428571428,0.6481481481481481,0.35185185185185186,-0.13816046966731899,0.4765902486277042,-0.06985185185185183,0.06985185185185183,4.810470638117098,2.015507293820399,1.1486720256887133,1.1486720256887124
0.114,"frozenset({'test preparation course=0', 'lunch=1', 'gender=0'})",5,16,2,91,3,114.0,0.7619047619047619,0.021505376344086023,0.8421052631578947,0.1578947368421053,-0.23094080760894722,0.44902132632193975,0.12410526315789472,-0.12410526315789472,4.622767798295497,8.465642725921741,3.2022171843097924,3.202217184309791
0.074,"frozenset({'test preparation course=0', 'lunch=1', 'race/ethnicity=2'})",4,12,3,55,3,74.0,0.75,0.05172413793103448,0.7972972972972973,0.20270270270270274,-0.20072204602199878,0.4371165644171779,0.07929729729729729,-0.07929729729729729,3.8962716568933096,5.012275384272068,1.480042146882075,1.480042146882075
0.14,frozenset({'race/ethnicity=4'}),14,33,7,86,1,140.0,0.7021276595744681,0.07526881720430108,0.7142857142857143,0.2857142857142857,-0.1771773667487322,0.389244223991646,-0.00371428571428567,0.00371428571428567,5.554665124537087,4.9436608260569335,0.15558597391587192,0.15558597391587053
0.077,"frozenset({'parental level of education=4', 'test preparation course=0'})",6,14,3,54,2,77.0,0.7,0.05263157894736842,0.7792207792207793,0.22077922077922074,-0.19981460500566484,0.38711656441717784,0.06122077922077929,-0.06122077922077929,3.705927976436639,4.923243477178958,1.1139685283563252,1.1139685283563252
0.082,"frozenset({'test preparation course=0', 'parental level of education=0'})",7,16,4,55,2,82.0,0.6956521739130435,0.06779661016949153,0.7560975609756098,0.24390243902439024,-0.18464957378354174,0.38276873833022135,0.03809756097560979,-0.03809756097560979,3.9038482016200784,4.310732188147426,0.6609866001961785,0.6609866001961785
0.227,"frozenset({'test preparation course=0', 'lunch=1'})",20,41,9,157,2,227.0,0.6721311475409836,0.05421686746987952,0.7797356828193832,0.2202643171806168,-0.19822931648315373,0.35924771195816146,0.06173568281938324,-0.06173568281938324,5.64579567610828,7.331775286301984,1.9330403242052967,1.9330403242052976
