itemsets,sup,Δ_fpr,t_fp
"lunch=1, parent_ed=0, test_prep=0",0.05,0.687,8.8
"lunch=1, parent_ed=4, test_prep=0",0.05,0.687,5.7
"lunch=1, race=4, test_prep=1",0.06,0.637,9.4
"gender=1, lunch=1, race=4",0.05,0.634,9.0
"lunch=1, race=4",0.1,0.616,10.1
itemsets,sup,Δ_fnr,t_fn
"parent_ed=2, race=2",0.06,0.7,10.9
"lunch=0, race=2, test_prep=1",0.07,0.63,7.0
"gender=0, parent_ed=2, test_prep=1",0.06,0.581,7.1
"gender=1, lunch=1, parent_ed=2, test_prep=1",0.05,0.581,6.1
"race=0, test_prep=1",0.06,0.566,4.5
itemsets,sup,Δ_error,t_fp_fn
"gender=0, lunch=1, race=2, test_prep=1",0.07,0.121,2.1
"gender=0, lunch=1, parent_ed=0, test_prep=1",0.05,0.118,1.8
"lunch=1, parent_ed=0, test_prep=1",0.09,0.109,2.1
"lunch=1, race=2, test_prep=1",0.13,0.107,2.4
"gender=0, lunch=1, parent_ed=2",0.06,0.104,1.7
itemsets,sup,Δ_accuracy,t_tp_tn
"lunch=1, parent_ed=4, test_prep=0",0.05,0.145,2.6
"race=0, test_prep=1",0.06,0.127,2.3
"gender=0, lunch=1, test_prep=0",0.11,0.124,3.2
race=0,0.09,0.113,2.5
"lunch=1, race=0",0.05,0.112,1.9
