itemsets,sup,Δ_fpr,t_fp
"age=25-45, #prior>3, race=Afr-Am, sex=Male",0.13,0.22,7.1
"age=25-45, #prior>3, race=Afr-Am",0.15,0.211,7.4
"age=25-45, charge=F, #prior>3, race=Afr-Am",0.11,0.202,6.2
itemsets,sup,Δ_fnr,t_fn
"age=25-45, stay<week, #prior=0",0.15,0.236,12.1
"charge=M, stay<week, #prior=[1,3]",0.1,0.233,12.2
"age>45, race=Cauc",0.1,0.231,10.3
itemsets,sup,Δ_error,t_fp_fn
"age<25, stay<week, race=Afr-Am",0.1,0.098,4.7
"age<25, stay<week, sex=Male",0.13,0.095,5.2
"age<25, race=Afr-Am, sex=Male",0.11,0.09,4.5
itemsets,sup,Δ_accuracy,t_tp_tn
"stay<week, #prior=0, race=Cauc",0.12,0.141,8.4
"charge=M, stay<week, #prior=0",0.15,0.133,8.6
"charge=M, #prior=0",0.16,0.129,8.5
